sma_period,devfactor,profit_target,max_hold_days,Net PnL,Final Value,CAGR
15,1.5,0.02,10,546359.6,1546359.6,4.64%
15,1.5,0.02,15,546359.6,1546359.6,4.64%
15,1.5,0.02,20,546359.6,1546359.6,4.64%
15,1.5,0.03,10,546359.6,1546359.6,4.64%
15,1.5,0.03,15,546359.6,1546359.6,4.64%
15,1.5,0.03,20,546359.6,1546359.6,4.64%
15,1.5,0.04,10,546359.6,1546359.6,4.64%
15,1.5,0.04,15,546359.6,1546359.6,4.64%
15,1.5,0.04,20,546359.6,1546359.6,4.64%
15,2.0,0.02,10,545327.81,1545327.81,4.63%
15,2.0,0.02,15,545327.81,1545327.81,4.63%
15,2.0,0.02,20,545327.81,1545327.81,4.63%
15,2.0,0.03,10,545327.81,1545327.81,4.63%
15,2.0,0.03,15,545327.81,1545327.81,4.63%
15,2.0,0.03,20,545327.81,1545327.81,4.63%
15,2.0,0.04,10,545327.81,1545327.81,4.63%
15,2.0,0.04,15,545327.81,1545327.81,4.63%
15,2.0,0.04,20,545327.81,1545327.81,4.63%
15,2.5,0.02,10,550952.69,1550952.69,4.67%
15,2.5,0.02,15,550952.69,1550952.69,4.67%
15,2.5,0.02,20,550952.69,1550952.69,4.67%
15,2.5,0.03,10,550952.69,1550952.69,4.67%
15,2.5,0.03,15,550952.69,1550952.69,4.67%
15,2.5,0.03,20,550952.69,1550952.69,4.67%
15,2.5,0.04,10,550952.69,1550952.69,4.67%
15,2.5,0.04,15,550952.69,1550952.69,4.67%
15,2.5,0.04,20,550952.69,1550952.69,4.67%
20,1.5,0.02,10,534479.25,1534479.25,4.55%
20,1.5,0.02,15,534479.25,1534479.25,4.55%
20,1.5,0.02,20,534479.25,1534479.25,4.55%
20,1.5,0.03,10,534479.25,1534479.25,4.55%
20,1.5,0.03,15,534479.25,1534479.25,4.55%
20,1.5,0.03,20,534479.25,1534479.25,4.55%
20,1.5,0.04,10,534479.25,1534479.25,4.55%
20,1.5,0.04,15,534479.25,1534479.25,4.55%
20,1.5,0.04,20,534479.25,1534479.25,4.55%
20,2.0,0.02,10,550952.69,1550952.69,4.67%
20,2.0,0.02,15,550952.69,1550952.69,4.67%
20,2.0,0.02,20,550952.69,1550952.69,4.67%
20,2.0,0.03,10,550952.69,1550952.69,4.67%
20,2.0,0.03,15,550952.69,1550952.69,4.67%
20,2.0,0.03,20,550952.69,1550952.69,4.67%
20,2.0,0.04,10,550952.69,1550952.69,4.67%
20,2.0,0.04,15,550952.69,1550952.69,4.67%
20,2.0,0.04,20,550952.69,1550952.69,4.67%
20,2.5,0.02,10,550952.69,1550952.69,4.67%
20,2.5,0.02,15,550952.69,1550952.69,4.67%
20,2.5,0.02,20,550952.69,1550952.69,4.67%
20,2.5,0.03,10,550952.69,1550952.69,4.67%
20,2.5,0.03,15,550952.69,1550952.69,4.67%
20,2.5,0.03,20,550952.69,1550952.69,4.67%
20,2.5,0.04,10,550952.69,1550952.69,4.67%
20,2.5,0.04,15,550952.69,1550952.69,4.67%
20,2.5,0.04,20,550952.69,1550952.69,4.67%
25,1.5,0.02,10,533818.81,1533818.81,4.55%
25,1.5,0.02,15,533818.81,1533818.81,4.55%
25,1.5,0.02,20,533818.81,1533818.81,4.55%
25,1.5,0.03,10,533818.81,1533818.81,4.55%
25,1.5,0.03,15,533818.81,1533818.81,4.55%
25,1.5,0.03,20,533818.81,1533818.81,4.55%
25,1.5,0.04,10,533818.81,1533818.81,4.55%
25,1.5,0.04,15,533818.81,1533818.81,4.55%
25,1.5,0.04,20,533818.81,1533818.81,4.55%
25,2.0,0.02,10,550952.69,1550952.69,4.67%
25,2.0,0.02,15,550952.69,1550952.69,4.67%
25,2.0,0.02,20,550952.69,1550952.69,4.67%
25,2.0,0.03,10,550952.69,1550952.69,4.67%
25,2.0,0.03,15,550952.69,1550952.69,4.67%
25,2.0,0.03,20,550952.69,1550952.69,4.67%
25,2.0,0.04,10,550952.69,1550952.69,4.67%
25,2.0,0.04,15,550952.69,1550952.69,4.67%
25,2.0,0.04,20,550952.69,1550952.69,4.67%
25,2.5,0.02,10,550952.69,1550952.69,4.67%
25,2.5,0.02,15,550952.69,1550952.69,4.67%
25,2.5,0.02,20,550952.69,1550952.69,4.67%
25,2.5,0.03,10,550952.69,1550952.69,4.67%
25,2.5,0.03,15,550952.69,1550952.69,4.67%
25,2.5,0.03,20,550952.69,1550952.69,4.67%
25,2.5,0.04,10,550952.69,1550952.69,4.67%
25,2.5,0.04,15,550952.69,1550952.69,4.67%
25,2.5,0.04,20,550952.69,1550952.69,4.67%
