fast_ema,slow_ema,signal_ema,min_days_between_trades,trade_size,final_value,cagr
8,20,6,2,1,1039150.3012695312,0.003849303519888325
8,20,6,2,11,1443990.8139648438,0.03744002355123732
8,20,6,2,21,1742044.4438476562,0.05709940140853176
8,20,6,2,31,1849764.2045898438,0.06346355573530915
8,20,6,2,41,2071170.0239257812,0.07555981259826217
8,20,6,4,1,1056581.1064453125,0.005521280035229337
8,20,6,4,11,1653785.0537109375,0.051615266931764436
8,20,6,4,21,1831280.8369140625,0.06239566583884071
8,20,6,4,31,1944184.013671875,0.06877330906762569
8,20,6,4,41,1987220.4819335938,0.07111686836220232
8,20,6,6,1,1057107.5063476562,0.005571385520775962
8,20,6,6,11,1356984.6811523438,0.031010151144766684
8,20,6,6,21,1407310.7192382812,0.03477301864521709
8,20,6,6,31,1529624.1166992188,0.04343657520694122
8,20,6,6,41,1480763.8979492188,0.040053275511023445
8,20,6,8,1,1096184.9057617188,0.009229694786664133
8,20,6,8,11,1807101.3618164062,0.060983938213380995
8,20,6,8,21,2059864.7397460938,0.07497103974661967
8,20,6,8,31,1968235.3061523438,0.07008871441210296
8,20,6,8,41,1807898.673828125,0.06103075987126316
8,20,6,10,1,1131634.5043945312,0.012448227965994985
8,20,6,10,11,1894357.1860351562,0.06600093691547082
8,20,6,10,21,1737630.2602539062,0.05683112586773342
8,20,6,10,31,1694553.5014648438,0.054180404613575206
8,20,6,10,41,1630416.0,0.05011911785736278
8,20,8,2,1,1070216.001953125,0.006811934328826208
8,20,8,2,11,1763143.712890625,0.05837333588704219
8,20,8,2,21,2144804.5,0.07932537174771537
8,20,8,2,31,1760420.6455078125,0.058209695700018216
8,20,8,2,41,1720503.1298828125,0.055784370418260565
8,20,8,4,1,1043469.751953125,0.0042659676563996385
8,20,8,4,11,1310384.25,0.027412132068778794
8,20,8,4,21,1343973.68359375,0.030016902192570694
8,20,8,4,31,1416858.453125,0.03547320175118163
8,20,8,4,41,1408218.3818359375,0.03483976567186664
8,20,8,6,1,1067878.9536132812,0.006591768389520691
8,20,8,6,11,1330156.7553710938,0.028952609580127797
8,20,8,6,21,1399406.3110351562,0.03419010662752431
8,20,8,6,31,1522013.5561523438,0.04291603932594601
8,20,8,6,41,1451383.2739257812,0.0379701354614288
8,20,8,8,1,1100785.2055664062,0.009652608734500578
8,20,8,8,11,1789010.7768554688,0.0599165517395015
8,20,8,8,21,2000192.1733398438,0.07181428700565307
8,20,8,8,31,1866955.32421875,0.06444820020169839
8,20,8,8,41,1742893.2138671875,0.05715091594805677
8,20,8,10,1,1153020.7573242188,0.014346308768080185
