Date,Action,Price,Commission,Portfolio Value
2015-08-25,BUY,7895.39990234375,315.81599609375,999096.1957226562
2015-09-15,SELL,7867.35009765625,314.69400390625003,998247.4978125
2015-11-06,BUY,7956.5498046875,318.2619921875,997839.2358203125
2015-11-30,SELL,7936.25,317.45,996799.7936328126
2015-12-10,BUY,7643.2998046875,305.7319921875,998094.0616406251
2015-12-18,SELL,7828.89990234375,313.15599609375,1003604.9095507814
2016-01-13,BUY,7557.89990234375,302.31599609375,1003482.5935546876
2016-02-01,SELL,7589.5,303.58,1004263.0174609376
2016-02-11,BUY,7203.60009765625,288.14400390625,994884.8734570313
2016-03-02,SELL,7321.7001953125,292.8680078125,1008406.0093554688
2016-06-27,BUY,8039.35009765625,321.57400390625,1010298.4392578126
2016-06-30,SELL,8260.25,330.41,1016590.0214453125
2016-09-30,BUY,8581.5,343.26,1017432.7770703125
2016-10-21,SELL,8708.599609375,348.343984375,1020982.4018359375
2016-11-03,BUY,8499.849609375,339.993984375,1020046.4312890625
2016-11-25,SELL,8007.9501953125,320.3180078125,1000646.11328125
2016-12-23,BUY,7972.5,318.90000000000003,1000857.21328125
2017-01-02,SELL,8210.099609375,328.403984375,1009502.793671875
2017-06-28,BUY,9520.2001953125,380.8080078125,1007963.9778515626
2017-07-04,SELL,9645.900390625,385.836015625,1013764.1574609375
2017-08-14,BUY,9755.75,390.23,1014909.9430859375
2017-09-01,SELL,9937.650390625,397.50601562500003,1020252.4370703126
2017-09-28,BUY,9736.400390625,389.456015625,1021164.9732421875
2017-10-09,SELL,9988.2001953125,399.5280078125,1029535.4452343751
2017-12-04,BUY,10175.0498046875,407.00199218750004,1027236.4510546876
2017-12-11,SELL,10310.5,412.42,1034134.0310546876
2018-03-07,BUY,10232.9501953125,409.3180078125,1030574.7130468751
2018-03-13,SELL,10389.5,415.58,1039571.1252343751
2018-03-20,BUY,10051.5498046875,402.0619921875,1042081.0554296876
2018-04-04,SELL,10274.599609375,410.98398437500003,1047680.0714453126
2018-05-22,BUY,10518.4501953125,420.73800781250003,1047989.3334375
2018-05-29,SELL,10689.400390625,427.576015625,1053669.7652343751
2018-06-29,BUY,10612.849609375,424.513984375,1057303.2590625002
2018-07-05,SELL,10786.0498046875,431.44199218750003,1059741.8170703128
2018-09-12,BUY,11340.099609375,453.603984375,1060480.2443359378
2018-10-08,SELL,10310.150390625,412.406015625,1017677.8383203128
2018-10-09,BUY,10390.2998046875,415.6119921875,1013692.2263281253
2018-10-31,SELL,10209.5498046875,408.38199218750003,1009623.8443359379
2019-01-29,BUY,10653.7001953125,426.1480078125,1009137.6963281254
2019-02-01,SELL,10851.349609375,434.053984375,1016669.6189062505
2019-05-08,BUY,11478.7001953125,459.1480078125,1011440.470898438
2019-05-21,SELL,11863.650390625,474.546015625,1031133.932695313
2019-07-09,BUY,11531.599609375,461.263984375,1031644.699960938
2019-07-30,SELL,11213.7001953125,448.54800781250003,1017508.1441406255
2019-08-23,BUY,10699.599609375,427.98398437500003,1022270.1601562505
2019-08-27,SELL,11106.5498046875,444.2619921875,1032913.905976563
2020-02-04,BUY,11786.25,471.45,1040178.471601563
2020-02-06,SELL,12120.0,484.8,1045307.655976563
2020-02-27,BUY,11661.25,466.45,1043723.198164063
2020-03-20,SELL,8284.4501953125,331.3780078125,909437.8357812505
2020-03-24,BUY,7848.2998046875,313.9319921875,907233.903789063
2020-03-26,SELL,8451.0,338.04,932893.871601563
2020-05-19,BUY,8961.7001953125,358.4680078125,929231.3801562504
2020-05-22,SELL,9067.900390625,362.716015625,936420.6953906254
2020-09-23,BUY,11258.75,450.35,930894.3297656254
2020-10-05,SELL,11487.7998046875,459.5119921875,944672.825585938
2021-01-29,BUY,13946.599609375,557.863984375,931634.9616015629
2021-02-02,SELL,14481.099609375,579.243984375,964915.7176171879
2021-03-26,BUY,14506.2998046875,580.2519921875,964375.4656250004
2021-03-31,SELL,14811.849609375,592.473984375,975964.9838281254
2021-04-13,BUY,14364.900390625,574.5960156250001,980986.3643750004
2021-04-28,SELL,14710.5,588.42,988625.9521875003
2021-11-23,BUY,17281.75,691.27,996798.6665625003
2021-12-10,SELL,17476.05078125,699.04203125,995007.6714062503
2021-12-21,BUY,16773.150390625,670.926015625,994244.7141406253
2021-12-29,SELL,17220.099609375,688.803984375,1011525.9101562503
2022-02-25,BUY,16515.650390625,660.626015625,1016575.2841406253
2022-03-02,SELL,16593.099609375,663.723984375,1013299.5289062503
2022-03-08,BUY,15747.75,629.91,1023297.6267187502
2022-03-10,SELL,16757.099609375,670.283984375,1052373.3192968753
2022-05-09,BUY,16227.7001953125,649.1080078125,1054690.1878515626
2022-05-30,SELL,16527.900390625,661.116015625,1063071.1030859377
2022-06-14,BUY,15674.25,626.97,1064758.1174609377
2022-07-05,SELL,15909.150390625,636.366015625,1071203.7826953128
2022-09-27,BUY,17110.900390625,684.436015625,1066379.3466796877
2022-10-18,SELL,17438.75,697.5500000000001,1082935.7810546877
2022-12-22,BUY,18288.80078125,731.55203125,1075746.1821484377
2023-01-12,SELL,17920.849609375,716.833984375,1066769.3481640627
2023-01-30,BUY,17541.94921875,701.67796875,1070347.6701953127
2023-02-10,SELL,17847.55078125,713.90203125,1077577.8306640626
2023-02-28,BUY,17383.25,695.33,1073710.4694140626
2023-03-08,SELL,17665.75,706.63,1087475.8706640627
2023-10-25,BUY,19286.44921875,771.45796875,1080132.4595703126
2023-11-07,SELL,19404.05078125,776.16203125,1090632.3131640626
2024-01-24,BUY,21185.25,847.41,1100532.8719140626
2024-01-30,SELL,21775.75,871.03,1112533.8731640626
2024-03-20,BUY,21843.900390625,873.756015625,1111468.0858984375
2024-04-01,SELL,22455.0,898.2,1135205.9015234376
2024-05-10,BUY,21990.94921875,879.63796875,1136896.2635546876
2024-05-17,SELL,22415.25,896.61,1150401.6848046875
2024-08-06,BUY,24189.849609375,967.593984375,1141542.1376953125
2024-08-19,SELL,24636.349609375,985.453984375,1166308.6368359374
2024-11-14,BUY,23542.150390625,941.686015625,1164988.9039453124
2024-11-26,SELL,24343.30078125,973.73203125,1196439.2344140625
2024-12-23,BUY,23738.19921875,949.52796875,1196099.7064453126
