date,action,price,size,cash,value
2015-05-18,BUY,8373.650390625,21,1000000.0,1000000.0
2015-06-03,SELL,8135.10009765625,21,824321.341796875,995158.4438476562
2015-06-19,BUY,8224.9501953125,21,995064.9897460938,995064.9897460938
2015-07-27,SELL,8361.0,21,819649.8979492188,995230.8979492188
2015-08-04,BUY,8516.900390625,21,994726.8979492188,994726.8979492188
2015-08-11,SELL,8462.349609375,21,814799.9438476562,992509.2856445312
2015-09-16,BUY,7899.14990234375,21,990138.3979492188,990138.3979492188
2015-10-30,SELL,8065.7998046875,21,822518.5,991900.2958984375
2015-11-27,BUY,7942.7001953125,21,991585.2958984375,991585.2958984375
2015-12-04,SELL,7781.89990234375,21,824945.0458984375,988364.9438476562
2015-12-17,BUY,7844.35009765625,21,988018.4438476562,988018.4438476562
2016-01-07,SELL,7568.2998046875,21,825017.4897460938,983951.7856445312
2016-01-29,BUY,7563.5498046875,21,984645.841796875,984645.841796875
2016-02-09,SELL,7298.2001953125,21,825970.8876953125,979233.091796875
2016-02-22,BUY,7234.5498046875,21,977500.591796875,977500.591796875
2016-04-08,SELL,7555.2001953125,21,828200.0458984375,986859.25
2016-05-12,BUY,7900.39990234375,21,989299.4438476562,989299.4438476562
2016-05-18,SELL,7870.14990234375,21,825186.5458984375,990459.6938476562
2016-05-26,BUY,8069.64990234375,21,988637.9438476562,988637.9438476562
2016-06-14,SELL,8108.85009765625,21,817348.2958984375,987634.1479492188
2016-07-01,BUY,8328.349609375,21,989686.8876953125,989686.8876953125
2016-08-03,SELL,8544.849609375,21,813902.18359375,993344.025390625
2016-09-01,BUY,8774.650390625,21,993475.275390625,993475.275390625
2016-09-14,SELL,8726.599609375,21,808472.6171875,991731.208984375
2016-12-01,BUY,8192.900390625,21,992066.1630859375,992066.1630859375
2016-12-21,SELL,8061.2998046875,21,822243.3671875,991530.6630859375
2016-12-29,BUY,8103.60009765625,21,989804.4692382812,989804.4692382812
2017-03-08,SELL,8924.2998046875,21,817902.6733398438,1005312.9692382812
2017-03-14,BUY,9087.0,21,1005369.6733398438,1005369.6733398438
2017-03-27,SELL,9045.2001953125,21,814588.8774414062,1004538.0815429688
2017-03-31,BUY,9173.75,21,1005705.6733398438,1005705.6733398438
2017-04-10,SELL,9181.4501953125,21,811710.8315429688,1004521.2856445312
2017-04-26,BUY,9351.849609375,21,1005687.8315429688,1005687.8315429688
2017-05-05,SELL,9285.2998046875,21,809502.6733398438,1004493.9692382812
2017-05-10,BUY,9407.2998046875,21,1005097.7192382812,1005097.7192382812
2017-05-22,SELL,9438.25,21,807227.3110351562,1005430.5610351562
2017-05-26,BUY,9595.099609375,21,1004336.4692382812,1004336.4692382812
2017-06-12,SELL,9616.400390625,21,802633.5610351562,1004577.9692382812
2017-07-10,BUY,9771.0498046875,21,1004378.4692382812,1004378.4692382812
2017-08-08,SELL,9978.5498046875,21,798871.4233398438,1008420.9692382812
2017-09-11,BUY,10006.0498046875,21,1006940.4692382812,1006940.4692382812
2017-09-25,SELL,9872.599609375,21,794986.4233398438,1002311.0151367188
2017-10-11,BUY,9984.7998046875,21,1002287.9233398438,1002287.9233398438
2017-11-09,SELL,10308.9501953125,21,790263.5151367188,1006751.4692382812
2017-11-27,BUY,10399.5498046875,21,1007020.2651367188,1007020.2651367188
2017-11-29,SELL,10361.2998046875,21,789245.0151367188,1006832.3110351562
2017-12-18,BUY,10388.75,21,1004002.5610351562,1004002.5610351562
2018-02-02,SELL,10760.599609375,21,784275.3569335938,1010247.9487304688
2018-04-05,BUY,10325.150390625,21,1008272.9028320312,1008272.9028320312
2018-05-18,SELL,10596.400390625,21,791309.3110351562,1013833.7192382812
2018-06-01,BUY,10696.2001953125,21,1012160.0151367188,1012160.0151367188
2018-06-21,SELL,10741.099609375,21,788961.5151367188,1014524.6069335938
2018-07-09,BUY,10852.900390625,21,1016220.3569335938,1016220.3569335938
2018-09-04,SELL,11520.2998046875,21,786328.1069335938,1028254.4028320312
2018-11-01,BUY,10380.4501953125,21,1027344.0610351562,1027344.0610351562
2018-12-10,SELL,10488.4501953125,21,805731.0610351562,1025988.5151367188
2018-12-12,BUY,10737.599609375,21,1027263.2192382812,1027263.2192382812
2019-01-03,SELL,10672.25,21,800640.6733398438,1024757.9233398438
2019-01-09,BUY,10855.150390625,21,1025915.0151367188,1025915.0151367188
2019-01-14,SELL,10737.599609375,21,798661.4233398438,1024151.0151367188
2019-02-04,BUY,10912.25,21,1027284.2192382812,1027284.2192382812
2019-02-14,SELL,10746.0498046875,21,797662.8774414062,1023329.9233398438
2019-03-01,BUY,10863.5,21,1022875.2856445312,1022875.2856445312
2019-04-22,SELL,11594.4501953125,21,792138.8315429688,1035622.2856445312
2019-05-21,BUY,11709.099609375,21,1035233.7856445312,1035233.7856445312
2019-06-14,SELL,11823.2998046875,21,788737.8774414062,1037027.1733398438
2019-07-04,BUY,11946.75,21,1033853.0356445312,1033853.0356445312
2019-09-04,SELL,10844.650390625,21,785818.8774414062,1013556.5356445312
2019-09-06,BUY,10946.2001953125,21,1013624.7856445312,1013624.7856445312
2019-09-19,SELL,10704.7998046875,21,782560.7397460938,1007361.5356445312
2019-12-18,BUY,12221.650390625,21,1019318.9438476562,1019318.9438476562
2019-12-31,SELL,12168.4501953125,21,761865.2397460938,1017402.6938476562
2020-01-14,BUY,12362.2998046875,21,1017697.7397460938,1017697.7397460938
2020-01-20,SELL,12224.5498046875,21,758488.4438476562,1015203.9897460938
2020-02-13,BUY,12174.650390625,21,1014055.2856445312,1014055.2856445312
2020-08-03,SELL,10891.599609375,21,759672.8315429688,988396.4233398438
2020-08-11,BUY,11322.5,21,992673.0815429688,992673.0815429688
2020-08-14,SELL,11178.400390625,21,755196.6733398438,989943.0815429688
2020-08-25,BUY,11472.25,21,991385.7651367188,991385.7651367188
2020-08-31,SELL,11387.5,21,748844.1733398438,987981.6733398438
